585 COPPIA: 39239 39241  T: 0.171965
586 COPPIA: 39341 39343  T: 0.172742
587 COPPIA: 39371 39373  T: 0.173063
588 COPPIA: 39509 39511  T: 0.174149
589 COPPIA: 39827 39829  T: 0.176685
590 COPPIA: 39839 39841  T: 0.176775
591 COPPIA: 40037 40039  T: 0.178278
592 COPPIA: 40127 40129  T: 0.179074
593 COPPIA: 40151 40153  T: 0.179243
594 COPPIA: 40427 40429  T: 0.181360
595 COPPIA: 40529 40531  T: 0.182260
596 COPPIA: 40637 40639  T: 0.183195
597 COPPIA: 40697 40699  T: 0.183636
598 COPPIA: 40847 40849  T: 0.184836
599 COPPIA: 41141 41143  T: 0.187284
600 COPPIA: 41177 41179  T: 0.187671
601 COPPIA: 41201 41203  T: 0.187895
602 COPPIA: 41231 41233  T: 0.188209
603 COPPIA: 41387 41389  T: 0.189303
604 COPPIA: 41411 41413  T: 0.189502
605 COPPIA: 41519 41521  T: 0.190550
606 COPPIA: 41609 41611  T: 0.191211
607 COPPIA: 41759 41761  T: 0.192287
608 COPPIA: 41849 41851  T: 0.192994
609 COPPIA: 41957 41959  T: 0.193944
610 COPPIA: 41981 41983  T: 0.194143
611 COPPIA: 42017 42019  T: 0.194810
